TRABAJADOR;REGIONAL;VICEPRESIDENCIA;GERENCIA;FECHA INGRESO;FECHA RETIRO;Año Unificado;EDAD;Rangos Edad;RELACION LABORAL;Rotacion;MOTIVO RETIRO;GENERO;NIVEL DE CARGO;CARGO;ACCESO CREDITO;SGD(1/100);SDG DESCRIPCION;CARGA PRESTACIONAL;;;;;
202070183;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;21/04/2021;16/07/2021;2021 12:00:00;36;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;95;EXCELENTE; $ 45.632.000 ;;;;;
202071184;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;20/01/2020;29/07/2021;2021 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;73;REGULAR; $ 45.632.000 ;;;;;
202072185;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/06/2021;30/07/2021;2021 12:00:00;30;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;84;REGULAR; $ 45.632.000 ;;;;;
202073186;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;16/03/2015;31/08/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;94;EXCELENTE; $ 45.632.000 ;;;;;
202074187;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;18/09/2018;17/09/2021;2021 12:00:00;26;Entre 25 y 30 años;0;Involuntaria;Terminacion No Prorroga                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;96;EXCELENTE; $ 45.632.000 ;;;;;
202075188;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;5/04/2016;4/10/2021;2021 12:00:00;32;Entre 31 y 35 años;0;Involuntaria;Terminacion No Prorroga                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;84;REGULAR; $ 45.632.000 ;;;;;
202076189;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/05/2021;7/10/2021;2021 12:00:00;32;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;78;REGULAR; $ 45.632.000 ;;;;;
202077190;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;8/10/2020;7/10/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Involuntaria;Terminacion No Prorroga                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;93;BUENO; $ 45.632.000 ;;;;;
202078191;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;26/04/2019;8/10/2021;2021 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;93;BUENO; $ 45.632.000 ;;;;;
202079192;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/09/2018;8/10/2021;2021 12:00:00;27;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;97;EXCELENTE; $ 45.632.000 ;;;;;
202080193;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/05/2021;29/10/2021;2021 12:00:00;37;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;91;BUENO; $ 45.632.000 ;;;;;
202081194;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;16/05/2017;30/10/2021;2021 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;79;REGULAR; $ 45.632.000 ;;;;;
202082195;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;18/07/2017;31/10/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;76;REGULAR; $ 45.632.000 ;;;;;
202083196;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;1/10/2020;5/11/2021;2021 12:00:00;33;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;99;EXCELENTE; $ 45.632.000 ;;;;;
202084197;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;23/08/2021;22/11/2021;2021 12:00:00;31;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;70;REGULAR; $ 45.632.000 ;;;;;
202085198;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;9/03/2021;26/11/2021;2021 12:00:00;39;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;77;REGULAR; $ 45.632.000 ;;;;;
202086199;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;19/10/2021;30/11/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;71;REGULAR; $ 45.632.000 ;;;;;
202087200;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;23/08/2021;1/12/2021;2021 12:00:00;35;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;90;BUENO; $ 45.632.000 ;;;;;
202088201;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;20/05/2019;3/12/2021;2021 12:00:00;34;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;99;EXCELENTE; $ 45.632.000 ;;;;;
202089202;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;26/06/2007;3/12/2021;2021 12:00:00;35;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;81;REGULAR; $ 45.632.000 ;;;;;
202090203;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;5/05/2021;31/12/2021;2021 12:00:00;21;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;90;BUENO; $ 45.632.000 ;;;;;
